Quarry,Column1,"IDOT
Producer
Number","Address Where
Stockpile is Located","City of
Stockpile","Ledge Footage
Location",%Mg,CCE,% Pass #8,"% Pass
#30","% Pass
#60","1 Year
Correction
Factor","4 Year
Correction
Factor",> #8,#8 >lime< #30,#30> lime < #60,<#60,Total Finess Eff. Value,RNV,One Year App Rate,Rec (t/a) based_soil_test,Recommend Amount,Price (t/a),Cost
"Prairie Materials ? East of
Truck Scale and Scale House",,50752?01,2744 N 200 E Road,Ashkum,"A/B Ledges
Combined Pile",3.02,91.36,84.4,38.3,24.8,1.22,1.2,0.156,0.461,0.135,0.248,41.55,37.96,1.12,1,1.12,22,24.64
"Prairie Materials ? Northeast
side of main plant",,50912?06,8215 Rte 45/52/ N,Manteno,"All Ledges (A,
New B, & C
Ledges)",11.86,98.21,76,37,23.9,1.2,1.18,0.24,0.39,0.131,0.239,39.45,38.74,1.17,1,1.17,22,25.74
Quality Lime Company,,50232?05,"14915 North Quality
Lime Road",Marshall,"All Ledges
Combined",1.36,93.46,85.3,38,22.7,1.22,1.17,0.147,0.473,0.153,0.227,40.545,37.89,1.14,1,1.14,22,25.08
R.L. O'Neal & Sons Inc.,,50672?04,RR 2 Box 130A,Plymouth,"13.7?38?1M
Ledge 2",1.97,90.29,78.1,41,24.4,1.25,1.23,0.219,0.371,0.166,0.244,41.215,37.21,1.12,1,1.12,22,24.64
R.L. O'Neal & Sons Inc.,,50672?04,RR 2 Box 130A,Plymouth,"Common
Stockpile",1.38,81.01,83.2,52.9,32.1,1.16,1.21,0.168,0.303,0.208,0.321,49.4,40.02,0.94,1,0.94,22,20.68
R.L. O'Neal & Sons Inc.,,50672?04,RR 2 Box 130A,Plymouth,"0.0?12.2M Ledge
1",1.49,82.23,69.5,38.2,24.1,1.45,1.44,0.305,0.313,0.141,0.241,38.935,32.02,1.19,1,1.19,22,26.18
"Renner Quarries ? (Robbins)
AmBoy",,51032?04,902 Robbins Road,Amboy,004,12.24,100.48,65,30.5,20,1.36,1.31,0.35,0.345,0.105,0.2,33.9,34.06,1.37,1,1.37,22,30.14
Renner Quarries ? Dixon,,51032?76,870 Renner Rd,Dixon,ledge 008,12.81,104.7,88.8,50.6,32.7,0.89,0.93,0.112,0.382,0.179,0.327,49.85,52.19,0.93,1,0.93,22,20.46
"RiverStone Group Inc ?
Cleveland Quarry",,50732?12,"1069 North Broadway
Street",Colona,Various Ledges,2.94,95.44,93.6,51.1,33.8,0.95,0.99,0.064,0.425,0.173,0.338,51.27,48.93,0.9,1,0.9,22,19.8
"RiverStone Group Inc ?
LeClaire Quarry",,52202?10,400 Territorial Road,LeClaire,"Various Ledges
HI?G",2.85,105.23,98.9,98.3,95.1,0.45,0.65,0.011,0.006,0.032,0.951,96.875,101.94,0.48,1,0.48,22,10.56
